CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
KU290618.1	Canis lupus familiaris	Canis lupus familiaris isolate 401T mitochondrion, complete genome
KU290617.1	Canis lupus familiaris	Canis lupus familiaris isolate 401H mitochondrion, complete genome
KU290616.1	Canis lupus familiaris	Canis lupus familiaris isolate 400T mitochondrion, complete genome
KU290615.1	Canis lupus familiaris	Canis lupus familiaris isolate 400H mitochondrion, complete genome
KU290614.1	Canis lupus familiaris	Canis lupus familiaris isolate 3T mitochondrion, complete genome
KU290613.1	Canis lupus familiaris	Canis lupus familiaris isolate 39T mitochondrion, complete genome
KU290612.1	Canis lupus familiaris	Canis lupus familiaris isolate 39H mitochondrion, complete genome
KU290611.1	Canis lupus familiaris	Canis lupus familiaris isolate 399T mitochondrion, complete genome
KU290610.1	Canis lupus familiaris	Canis lupus familiaris isolate 399H mitochondrion, complete genome
KU290609.1	Canis lupus familiaris	Canis lupus familiaris isolate 396T mitochondrion, complete genome
KU290608.1	Canis lupus familiaris	Canis lupus familiaris isolate 396H mitochondrion, complete genome
KU290607.1	Canis lupus familiaris	Canis lupus familiaris isolate 394T mitochondrion, complete genome
KU290606.1	Canis lupus familiaris	Canis lupus familiaris isolate 393T mitochondrion, complete genome
KU290605.1	Canis lupus familiaris	Canis lupus familiaris isolate 393H mitochondrion, complete genome
KU290604.1	Canis lupus familiaris	Canis lupus familiaris isolate 391T mitochondrion, complete genome
KU290603.1	Canis lupus familiaris	Canis lupus familiaris isolate 391H mitochondrion, complete genome
KU290602.1	Canis lupus familiaris	Canis lupus familiaris isolate 390T mitochondrion, complete genome
KU290601.1	Canis lupus familiaris	Canis lupus familiaris isolate 390H mitochondrion, complete genome
KU290600.1	Canis lupus familiaris	Canis lupus familiaris isolate 38T mitochondrion, complete genome
KU290599.1	Canis lupus familiaris	Canis lupus familiaris isolate 38H mitochondrion, complete genome
KU290598.1	Canis lupus familiaris	Canis lupus familiaris isolate 389T2 mitochondrion, complete genome
KU290597.1	Canis lupus familiaris	Canis lupus familiaris isolate 389T1 mitochondrion, complete genome
KU290596.1	Canis lupus familiaris	Canis lupus familiaris isolate 389H2 mitochondrion, complete genome
KU290595.1	Canis lupus familiaris	Canis lupus familiaris isolate 388T mitochondrion, complete genome
KU290594.1	Canis lupus familiaris	Canis lupus familiaris isolate 388H mitochondrion, complete genome
KU290593.1	Canis lupus familiaris	Canis lupus familiaris isolate 387T mitochondrion, complete genome
KU290592.1	Canis lupus familiaris	Canis lupus familiaris isolate 386T mitochondrion, complete genome
KU290591.1	Canis lupus familiaris	Canis lupus familiaris isolate 386H mitochondrion, complete genome
KU290590.1	Canis lupus familiaris	Canis lupus familiaris isolate 385T mitochondrion, complete genome
KU290589.1	Canis lupus familiaris	Canis lupus familiaris isolate 385H mitochondrion, complete genome
KU290588.1	Canis lupus familiaris	Canis lupus familiaris isolate 383T mitochondrion, complete genome
KU290587.1	Canis lupus familiaris	Canis lupus familiaris isolate 383H mitochondrion, complete genome
KU290586.1	Canis lupus familiaris	Canis lupus familiaris isolate 382T mitochondrion, complete genome
KU290585.1	Canis lupus familiaris	Canis lupus familiaris isolate 382H mitochondrion, complete genome
KU290584.1	Canis lupus familiaris	Canis lupus familiaris isolate 381T mitochondrion, complete genome
KU290583.1	Canis lupus familiaris	Canis lupus familiaris isolate 37T mitochondrion, complete genome
KU290582.1	Canis lupus familiaris	Canis lupus familiaris isolate 37H mitochondrion, complete genome
KU290581.1	Canis lupus familiaris	Canis lupus familiaris isolate 379T mitochondrion, complete genome
KU290580.1	Canis lupus familiaris	Canis lupus familiaris isolate 377T mitochondrion, complete genome
KU290579.1	Canis lupus familiaris	Canis lupus familiaris isolate 375T mitochondrion, complete genome
KU290578.1	Canis lupus familiaris	Canis lupus familiaris isolate 372T mitochondrion, complete genome
KU290577.1	Canis lupus familiaris	Canis lupus familiaris isolate 371T mitochondrion, complete genome
KU290576.1	Canis lupus familiaris	Canis lupus familiaris isolate 370T mitochondrion, complete genome
KU290575.1	Canis lupus familiaris	Canis lupus familiaris isolate 369T mitochondrion, complete genome
KU290574.1	Canis lupus familiaris	Canis lupus familiaris isolate 367T mitochondrion, complete genome
KU290573.1	Canis lupus familiaris	Canis lupus familiaris isolate 367H mitochondrion, complete genome
KU290572.1	Canis lupus familiaris	Canis lupus familiaris isolate 366T mitochondrion, complete genome
KU290571.1	Canis lupus familiaris	Canis lupus familiaris isolate 366H mitochondrion, complete genome
KU290570.1	Canis lupus familiaris	Canis lupus familiaris isolate 365T mitochondrion, complete genome
KU290569.1	Canis lupus familiaris	Canis lupus familiaris isolate 365H mitochondrion, complete genome
KU290568.1	Canis lupus familiaris	Canis lupus familiaris isolate 364T mitochondrion, complete genome
KU290567.1	Canis lupus familiaris	Canis lupus familiaris isolate 364H mitochondrion, complete genome
KU290566.1	Canis lupus familiaris	Canis lupus familiaris isolate 363T mitochondrion, complete genome
KU290565.1	Canis lupus familiaris	Canis lupus familiaris isolate 363H mitochondrion, complete genome
KU290564.1	Canis lupus familiaris	Canis lupus familiaris isolate 362T mitochondrion, complete genome
KU290563.1	Canis lupus familiaris	Canis lupus familiaris isolate 361T mitochondrion, complete genome
KU290562.1	Canis lupus familiaris	Canis lupus familiaris isolate 361H mitochondrion, complete genome
KU290561.1	Canis lupus familiaris	Canis lupus familiaris isolate 360T mitochondrion, complete genome
KU290560.1	Canis lupus familiaris	Canis lupus familiaris isolate 360H mitochondrion, complete genome
KU290559.1	Canis lupus familiaris	Canis lupus familiaris isolate 359T mitochondrion, complete genome
KU290558.1	Canis lupus familiaris	Canis lupus familiaris isolate 34T mitochondrion, complete genome
KU290557.1	Canis lupus familiaris	Canis lupus familiaris isolate 346T mitochondrion, complete genome
KU290556.1	Canis lupus familiaris	Canis lupus familiaris isolate 345T mitochondrion, complete genome
KU290555.1	Canis lupus familiaris	Canis lupus familiaris isolate 345H mitochondrion, complete genome
KU290554.1	Canis lupus familiaris	Canis lupus familiaris isolate 344T mitochondrion, complete genome
KU290553.1	Canis lupus familiaris	Canis lupus familiaris isolate 344H mitochondrion, complete genome
KU290552.1	Canis lupus familiaris	Canis lupus familiaris isolate 343T mitochondrion, complete genome
KU290551.1	Canis lupus familiaris	Canis lupus familiaris isolate 343H mitochondrion, complete genome
KU290550.1	Canis lupus familiaris	Canis lupus familiaris isolate 342T mitochondrion, complete genome
KU290549.1	Canis lupus familiaris	Canis lupus familiaris isolate 342H mitochondrion, complete genome
KU290548.1	Canis lupus familiaris	Canis lupus familiaris isolate 341T mitochondrion, complete genome
KU290547.1	Canis lupus familiaris	Canis lupus familiaris isolate 341H mitochondrion, complete genome
KU290546.1	Canis lupus familiaris	Canis lupus familiaris isolate 33T mitochondrion, complete genome
KU290545.1	Canis lupus familiaris	Canis lupus familiaris isolate 339T mitochondrion, complete genome
KU290544.1	Canis lupus familiaris	Canis lupus familiaris isolate 339H mitochondrion, complete genome
KU290543.1	Canis lupus familiaris	Canis lupus familiaris isolate 338T mitochondrion, complete genome
KU290542.1	Canis lupus familiaris	Canis lupus familiaris isolate 338H mitochondrion, complete genome
KU290541.1	Canis lupus familiaris	Canis lupus familiaris isolate 336T mitochondrion, complete genome
KU290540.1	Canis lupus familiaris	Canis lupus familiaris isolate 335T mitochondrion, complete genome
KU290539.1	Canis lupus familiaris	Canis lupus familiaris isolate 32T mitochondrion, complete genome
KU290538.1	Canis lupus familiaris	Canis lupus familiaris isolate 326T mitochondrion, complete genome
KU290537.1	Canis lupus familiaris	Canis lupus familiaris isolate 326H mitochondrion, complete genome
KU290536.1	Canis lupus familiaris	Canis lupus familiaris isolate 324T2 mitochondrion, complete genome
KU290535.1	Canis lupus familiaris	Canis lupus familiaris isolate 324H5 mitochondrion, complete genome
KU290534.1	Canis lupus familiaris	Canis lupus familiaris isolate 321T2 mitochondrion, complete genome
KU290533.1	Canis lupus familiaris	Canis lupus familiaris isolate 321H6 mitochondrion, complete genome
KU290532.1	Canis lupus familiaris	Canis lupus familiaris isolate 317T mitochondrion, complete genome
KU290531.1	Canis lupus familiaris	Canis lupus familiaris isolate 317H mitochondrion, complete genome
KU290530.1	Canis lupus familiaris	Canis lupus familiaris isolate 315T mitochondrion, complete genome
KU290529.1	Canis lupus familiaris	Canis lupus familiaris isolate 315H mitochondrion, complete genome
KU290528.1	Canis lupus familiaris	Canis lupus familiaris isolate 313T mitochondrion, complete genome
KU290527.1	Canis lupus familiaris	Canis lupus familiaris isolate 313H mitochondrion, complete genome
KU290526.1	Canis lupus familiaris	Canis lupus familiaris isolate 310T mitochondrion, complete genome
KU290525.1	Canis lupus familiaris	Canis lupus familiaris isolate 310H mitochondrion, complete genome
KU290524.1	Canis lupus familiaris	Canis lupus familiaris isolate 309T mitochondrion, complete genome
KU290523.1	Canis lupus familiaris	Canis lupus familiaris isolate 309H mitochondrion, complete genome
KU290522.1	Canis lupus familiaris	Canis lupus familiaris isolate 308T mitochondrion, complete genome
KU290521.1	Canis lupus familiaris	Canis lupus familiaris isolate 308H mitochondrion, complete genome
KU290520.1	Canis lupus familiaris	Canis lupus familiaris isolate 2T mitochondrion, complete genome
KU290519.1	Canis lupus familiaris	Canis lupus familiaris isolate 29T1 mitochondrion, complete genome
KU290518.1	Canis lupus familiaris	Canis lupus familiaris isolate 29H mitochondrion, complete genome
KU290517.1	Canis lupus familiaris	Canis lupus familiaris isolate 28T mitochondrion, complete genome
KU290516.1	Canis lupus familiaris	Canis lupus familiaris isolate 28H mitochondrion, complete genome
KU290515.1	Canis lupus familiaris	Canis lupus familiaris isolate 286T1 mitochondrion, complete genome
KU290514.1	Canis lupus familiaris	Canis lupus familiaris isolate 286H mitochondrion, complete genome
KU290513.1	Canis lupus familiaris	Canis lupus familiaris isolate 285T mitochondrion, complete genome
KU290512.1	Canis lupus familiaris	Canis lupus familiaris isolate 285H mitochondrion, complete genome
KU290511.1	Canis lupus familiaris	Canis lupus familiaris isolate 281T mitochondrion, complete genome
KU290510.1	Canis lupus familiaris	Canis lupus familiaris isolate 281H mitochondrion, complete genome
KU290509.1	Canis lupus familiaris	Canis lupus familiaris isolate 27T mitochondrion, complete genome
KU290508.1	Canis lupus familiaris	Canis lupus familiaris isolate 279T mitochondrion, complete genome
KU290507.1	Canis lupus familiaris	Canis lupus familiaris isolate 279H mitochondrion, complete genome
KU290506.1	Canis lupus familiaris	Canis lupus familiaris isolate 277H mitochondrion, complete genome
KU290505.1	Canis lupus familiaris	Canis lupus familiaris isolate 276T mitochondrion, complete genome
KU290504.1	Canis lupus familiaris	Canis lupus familiaris isolate 276H mitochondrion, complete genome
KU290503.1	Canis lupus familiaris	Canis lupus familiaris isolate 275T mitochondrion, complete genome
KU290502.1	Canis lupus familiaris	Canis lupus familiaris isolate 275H mitochondrion, complete genome
KU290501.1	Canis lupus familiaris	Canis lupus familiaris isolate 274T mitochondrion, complete genome
KU290500.1	Canis lupus familiaris	Canis lupus familiaris isolate 274H mitochondrion, complete genome
KU290499.1	Canis lupus familiaris	Canis lupus familiaris isolate 273T mitochondrion, complete genome
KU290498.1	Canis lupus familiaris	Canis lupus familiaris isolate 271T mitochondrion, complete genome
KU290497.1	Canis lupus familiaris	Canis lupus familiaris isolate 270T mitochondrion, complete genome
KU290496.1	Canis lupus familiaris	Canis lupus familiaris isolate 270H mitochondrion, complete genome
KU290495.1	Canis lupus familiaris	Canis lupus familiaris isolate 26T mitochondrion, complete genome
KU290494.1	Canis lupus familiaris	Canis lupus familiaris isolate 26H mitochondrion, complete genome
KU290493.1	Canis lupus familiaris	Canis lupus familiaris isolate 269T mitochondrion, complete genome
KU290492.1	Canis lupus familiaris	Canis lupus familiaris isolate 268H1 mitochondrion, complete genome
KU290491.1	Canis lupus familiaris	Canis lupus familiaris isolate 267T mitochondrion, complete genome
KU290490.1	Canis lupus familiaris	Canis lupus familiaris isolate 267H mitochondrion, complete genome
KU290489.1	Canis lupus familiaris	Canis lupus familiaris isolate 266T mitochondrion, complete genome
KU290488.1	Canis lupus familiaris	Canis lupus familiaris isolate 266H mitochondrion, complete genome
KU290487.1	Canis lupus familiaris	Canis lupus familiaris isolate 265T mitochondrion, complete genome
KU290486.1	Canis lupus familiaris	Canis lupus familiaris isolate 265H mitochondrion, complete genome
KU290485.1	Canis lupus familiaris	Canis lupus familiaris isolate 25T mitochondrion, complete genome
KU290484.1	Canis lupus familiaris	Canis lupus familiaris isolate 25H mitochondrion, complete genome
KU290483.1	Canis lupus familiaris	Canis lupus familiaris isolate 24T mitochondrion, complete genome
KU290482.1	Canis lupus familiaris	Canis lupus familiaris isolate 24H mitochondrion, complete genome
KU290481.1	Canis lupus familiaris	Canis lupus familiaris isolate 23T mitochondrion, complete genome
KU290480.1	Canis lupus familiaris	Canis lupus familiaris isolate 23H mitochondrion, complete genome
KU290479.1	Canis lupus familiaris	Canis lupus familiaris isolate 235T mitochondrion, complete genome
KU290478.1	Canis lupus familiaris	Canis lupus familiaris isolate 234T mitochondrion, complete genome
KU290477.1	Canis lupus familiaris	Canis lupus familiaris isolate 233T mitochondrion, complete genome
KU290476.1	Canis lupus familiaris	Canis lupus familiaris isolate 232T mitochondrion, complete genome
KU290475.1	Canis lupus familiaris	Canis lupus familiaris isolate 231T mitochondrion, complete genome
KU290474.1	Canis lupus familiaris	Canis lupus familiaris isolate 230T mitochondrion, complete genome
KU290473.1	Canis lupus familiaris	Canis lupus familiaris isolate 22T mitochondrion, complete genome
KU290472.1	Canis lupus familiaris	Canis lupus familiaris isolate 22H mitochondrion, complete genome
KU290471.1	Canis lupus familiaris	Canis lupus familiaris isolate 226T mitochondrion, complete genome
KU290470.1	Canis lupus familiaris	Canis lupus familiaris isolate 209T mitochondrion, complete genome
KU290469.1	Canis lupus familiaris	Canis lupus familiaris isolate 209H mitochondrion, complete genome
KU290468.1	Canis lupus familiaris	Canis lupus familiaris isolate 1T mitochondrion, complete genome
KU290467.1	Canis lupus familiaris	Canis lupus familiaris isolate 196T mitochondrion, complete genome
KU290466.1	Canis lupus familiaris	Canis lupus familiaris isolate 196H mitochondrion, complete genome
KU290465.1	Canis lupus familiaris	Canis lupus familiaris isolate 18T1 mitochondrion, complete genome
KU290464.1	Canis lupus familiaris	Canis lupus familiaris isolate 180T mitochondrion, complete genome
KU290463.1	Canis lupus familiaris	Canis lupus familiaris isolate 180H mitochondrion, complete genome
KU290462.1	Canis lupus familiaris	Canis lupus familiaris isolate 17T1 mitochondrion, complete genome
KU290461.1	Canis lupus familiaris	Canis lupus familiaris isolate 179T1 mitochondrion, complete genome
KU290460.1	Canis lupus familiaris	Canis lupus familiaris isolate 179H mitochondrion, complete genome
KU290459.1	Canis lupus familiaris	Canis lupus familiaris isolate 15T1 mitochondrion, complete genome
KU290458.1	Canis lupus familiaris	Canis lupus familiaris isolate 154T mitochondrion, complete genome
KU290457.1	Canis lupus familiaris	Canis lupus familiaris isolate 154H mitochondrion, complete genome
KU290456.1	Canis lupus familiaris	Canis lupus familiaris isolate 153T mitochondrion, complete genome
KU290455.1	Canis lupus familiaris	Canis lupus familiaris isolate 152T mitochondrion, complete genome
KU290454.1	Canis lupus familiaris	Canis lupus familiaris isolate 152H mitochondrion, complete genome
KU290453.1	Canis lupus familiaris	Canis lupus familiaris isolate 151T mitochondrion, complete genome
KU290452.1	Canis lupus familiaris	Canis lupus familiaris isolate 151H mitochondrion, complete genome
KU290451.1	Canis lupus familiaris	Canis lupus familiaris isolate 149T mitochondrion, complete genome
KU290450.1	Canis lupus familiaris	Canis lupus familiaris isolate 149H mitochondrion, complete genome
KU290449.1	Canis lupus familiaris	Canis lupus familiaris isolate 148T mitochondrion, complete genome
KU290448.1	Canis lupus familiaris	Canis lupus familiaris isolate 148H mitochondrion, complete genome
KU290447.1	Canis lupus familiaris	Canis lupus familiaris isolate 146T mitochondrion, complete genome
KU290446.1	Canis lupus familiaris	Canis lupus familiaris isolate 146H mitochondrion, complete genome
KU290445.1	Canis lupus familiaris	Canis lupus familiaris isolate 143T mitochondrion, complete genome
KU290444.1	Canis lupus familiaris	Canis lupus familiaris isolate 143H mitochondrion, complete genome
KU290443.1	Canis lupus familiaris	Canis lupus familiaris isolate 142T mitochondrion, complete genome
KU290442.1	Canis lupus familiaris	Canis lupus familiaris isolate 142H mitochondrion, complete genome
KU290441.1	Canis lupus familiaris	Canis lupus familiaris isolate 140T mitochondrion, complete genome
KU290440.1	Canis lupus familiaris	Canis lupus familiaris isolate 140H mitochondrion, complete genome
KU290439.1	Canis lupus familiaris	Canis lupus familiaris isolate 13T mitochondrion, complete genome
KU290438.1	Canis lupus familiaris	Canis lupus familiaris isolate 139T mitochondrion, complete genome
KU290437.1	Canis lupus familiaris	Canis lupus familiaris isolate 139H mitochondrion, complete genome
KU290436.1	Canis lupus familiaris	Canis lupus familiaris isolate 137T1 mitochondrion, complete genome
KU290435.1	Canis lupus familiaris	Canis lupus familiaris isolate 137H mitochondrion, complete genome
KU290434.1	Canis lupus familiaris	Canis lupus familiaris isolate 136T mitochondrion, complete genome
KU290433.1	Canis lupus familiaris	Canis lupus familiaris isolate 136H mitochondrion, complete genome
KU290432.1	Canis lupus familiaris	Canis lupus familiaris isolate 135T mitochondrion, complete genome
KU290431.1	Canis lupus familiaris	Canis lupus familiaris isolate 135H mitochondrion, complete genome
KU290430.1	Canis lupus familiaris	Canis lupus familiaris isolate 134T mitochondrion, complete genome
KU290429.1	Canis lupus familiaris	Canis lupus familiaris isolate 134H mitochondrion, complete genome
KU290428.1	Canis lupus familiaris	Canis lupus familiaris isolate 133T mitochondrion, complete genome
KU290427.1	Canis lupus familiaris	Canis lupus familiaris isolate 12T mitochondrion, complete genome
KU290426.1	Canis lupus familiaris	Canis lupus familiaris isolate 127H mitochondrion, complete genome
KU290425.1	Canis lupus familiaris	Canis lupus familiaris isolate 126T mitochondrion, complete genome
KU290424.1	Canis lupus familiaris	Canis lupus familiaris isolate 126H mitochondrion, complete genome
KU290423.1	Canis lupus familiaris	Canis lupus familiaris isolate 125T mitochondrion, complete genome
KU290422.1	Canis lupus familiaris	Canis lupus familiaris isolate 124T mitochondrion, complete genome
KU290421.1	Canis lupus familiaris	Canis lupus familiaris isolate 124H mitochondrion, complete genome
KU290420.1	Canis lupus familiaris	Canis lupus familiaris isolate 123T mitochondrion, complete genome
KU290419.1	Canis lupus familiaris	Canis lupus familiaris isolate 122T mitochondrion, complete genome
KU290418.1	Canis lupus familiaris	Canis lupus familiaris isolate 120T1 mitochondrion, complete genome
KU290417.1	Canis lupus familiaris	Canis lupus familiaris isolate 120H1 mitochondrion, complete genome
KU290416.1	Canis lupus familiaris	Canis lupus familiaris isolate 11T mitochondrion, complete genome
KU290415.1	Canis lupus familiaris	Canis lupus familiaris isolate 110T mitochondrion, complete genome
KU290414.1	Canis lupus familiaris	Canis lupus familiaris isolate 109T mitochondrion, complete genome
KU290413.1	Canis lupus familiaris	Canis lupus familiaris isolate 108T mitochondrion, complete genome
KU290412.1	Canis lupus familiaris	Canis lupus familiaris isolate 108H mitochondrion, complete genome
KU290411.1	Canis lupus familiaris	Canis lupus familiaris isolate 107T mitochondrion, complete genome
KU290410.1	Canis lupus familiaris	Canis lupus familiaris isolate 106T mitochondrion, complete genome
KU290409.1	Canis lupus familiaris	Canis lupus familiaris isolate 105T mitochondrion, complete genome
KU290408.1	Canis lupus familiaris	Canis lupus familiaris isolate 104T mitochondrion, complete genome
KU290407.1	Canis lupus familiaris	Canis lupus familiaris isolate 103T mitochondrion, complete genome
KU290406.1	Canis lupus familiaris	Canis lupus familiaris isolate 103H mitochondrion, complete genome
KU290405.1	Canis lupus familiaris	Canis lupus familiaris isolate 102T mitochondrion, complete genome
KU290404.1	Canis lupus familiaris	Canis lupus familiaris isolate 102H mitochondrion, complete genome
KU290403.1	Canis lupus familiaris	Canis lupus familiaris isolate 101T mitochondrion, complete genome
KU290402.1	Canis lupus familiaris	Canis lupus familiaris isolate 101H mitochondrion, complete genome
KU290401.1	Canis lupus familiaris	Canis lupus familiaris isolate 100T mitochondrion, complete genome
KU290400.1	Canis lupus familiaris	Canis lupus familiaris isolate 100H1 mitochondrion, complete genome
KU215702.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10098 mitochondrion, complete genome
KU215701.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10093 mitochondrion, complete genome
KU215700.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10096 mitochondrion, complete genome
KU215699.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10097 mitochondrion, complete genome
KU215698.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10094 mitochondrion, complete genome
KU215697.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10095 mitochondrion, complete genome
KU215696.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10076 mitochondrion, complete genome
KU215695.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10078 mitochondrion, complete genome
KU215694.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10077 mitochondrion, complete genome
KU215692.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10071 mitochondrion, complete genome
KU215691.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10072 mitochondrion, complete genome
KU215690.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10073 mitochondrion, complete genome
KU215689.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10074 mitochondrion, complete genome
KU215688.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10075 mitochondrion, complete genome
KU215687.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10079 mitochondrion, complete genome
KU215685.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10114 mitochondrion, complete genome
KU215684.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10113 mitochondrion, complete genome
KU215683.1	Canis lupus familiaris	UNVERIFIED: Canis lupus familiaris isolate MS10112 mitochondrion, complete genome
KT168382.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10135 mitochondrion, complete genome
KT168381.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10137 mitochondrion, complete genome
KT168380.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10136 mitochondrion, complete genome
KT168379.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10131 mitochondrion, complete genome
KT168378.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10130 mitochondrion, partial genome
KT168377.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10133 mitochondrion, complete genome
KT168376.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10132 mitochondrion, complete genome
KT168375.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10129 mitochondrion, partial genome
KT168374.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10070 mitochondrion, complete genome
KT168373.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10062 mitochondrion, complete genome
KT168372.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10066 mitochondrion, complete genome
KT168371.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10065 mitochondrion, complete genome
KT168370.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10069 mitochondrion, complete genome
KT168369.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10068 mitochondrion, complete genome
KT591870.1	Canis lupus familiaris	Canis lupus familiaris voucher CLUP20150827V3 mitochondrion, complete genome
JXLN01000001.1	Sarcoptes scabiei	Sarcoptes scabiei mitochondrion, complete sequence, whole genome shotgun sequence
KT447685.1	Canis lupus familiaris	Canis lupus familiaris isolate CFA_103 cytochrome b (CYB) gene, complete cds; mitochondrial
KT447684.1	Canis lupus familiaris	Canis lupus familiaris isolate CFA_99 cytochrome b (CYB) gene, complete cds; mitochondrial
KC346443.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern20 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346442.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern6 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346441.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern18 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346440.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern4 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346439.1	Canis lupus familiaris	Canis lupus familiaris isolate Southeastern14 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346438.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern7 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346437.1	Canis lupus familiaris	Canis lupus familiaris isolate Southeastern5 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346436.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern16 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346435.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern13 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346434.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern5 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346433.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern17 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KC346432.1	Canis lupus familiaris	Canis lupus familiaris isolate Northwestern19 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
